Probe	Region	Methylation
1700018F24Rik	Gene_body	4.8287983
1700018F24Rik	Promoter	0
1700018L24Rik	Gene_body	91.82593
1700018L24Rik	Promoter	94.14059
1700019A02Rik	Gene_body	94.40533
1700019A02Rik	Promoter	97.31399
1700019B03Rik	Gene_body	42.670475
1700019B03Rik	Promoter	32.055557
1700019B21Rik	Gene_body	15.105669
1700019B21Rik	Promoter	9.492522
1700019D03Rik	Gene_body	85.494446
1700019D03Rik	Promoter	97.36328
1700019E08Rik	Gene_body	4.174402
1700019E08Rik	Promoter	9.779387
1700019E19Rik	Gene_body	85.22329
1700019E19Rik	Promoter	1.8148628
1700019G06Rik	Gene_body	3.271605
1700019G06Rik	Promoter	2.299383
1700019G17Rik	Gene_body	60.226917
1700019G17Rik	Promoter	22.981918
1700019G24Rik	Gene_body	64.59799
1700019G24Rik	Promoter	56.98723
1700019L03Rik	Gene_body	73.44504
1700019L03Rik	Promoter	51.82185
1700019M22Rik	Gene_body	6.374644
1700019M22Rik	Promoter	5.952381
1700019N12Rik	Gene_body	3.2561054
1700019N12Rik	Promoter	4.072843
1700019N19Rik	Gene_body	63.48851
1700019N19Rik	Promoter	41.44899
1700020A23Rik	Gene_body	5.082522
1700020A23Rik	Promoter	28.103252
1700020C07Rik	Gene_body	6.9704833
1700020C07Rik	Promoter	43.244095
1700020I14Rik	Gene_body	55.45855
1700020I14Rik	Promoter	12.125652
1700020L24Rik	Gene_body	2.2502148
1700020L24Rik	Promoter	3.9351854
1700020N01Rik	Gene_body	4.50175
1700020N01Rik	Promoter	2.059028
1700020O03Rik	Gene_body	87.84702
1700020O03Rik	Promoter	8.832715
1700021A07Rik	Gene_body	87.07218
1700021A07Rik	Promoter	46.7992
1700021C14Rik	Gene_body	37.734474
1700021C14Rik	Promoter	3.6549747
1700021F05Rik	Gene_body	79.03734
1700021F05Rik	Promoter	0.6967271
1700021F07Rik	Gene_body	57.707355
1700021F07Rik	Promoter	3.1132975
1700021J08Rik	Gene_body	97.68122
1700021J08Rik	Promoter	98.82042
1700021K19Rik	Gene_body	78.641815
1700021K19Rik	Promoter	5.014022
1700021L23Rik	Gene_body	2.5403044
1700021L23Rik	Promoter	1.5746754
1700021N21Rik	Gene_body	5.5986395
1700021N21Rik	Promoter	1.622807
1700021O21Rik	Gene_body	4.7487745
1700021O21Rik	Promoter	8.454861
1700022I11Rik	Gene_body	89.920105
1700022I11Rik	Promoter	36.93773
1700022K14Rik	Gene_body	11.533987
1700022K14Rik	Promoter	0.4902597
1700022N22Rik	Gene_body	25.95238
1700022N22Rik	Promoter	2.2326202
1700022P22Rik	Gene_body	95.1666
1700022P22Rik	Promoter	24.823082
1700023A16Rik	Gene_body	74.82441
1700023A16Rik	Promoter	1.4379085
1700023C21Rik	Gene_body	1.6342791
1700023C21Rik	Promoter	1.8238904
1700023E05Rik	Gene_body	43.85057
1700023E05Rik	Promoter	0.58179194
1700023F06Rik	Gene_body	1.5414397
1700023F06Rik	Promoter	1.7214285
1700023H06Rik	Gene_body	0.34879336
1700023H06Rik	Promoter	1.9848518
1700023I07Rik	Gene_body	15.313031
1700023I07Rik	Promoter	11.730571
1700023L04Rik	Gene_body	59.551388
1700023L04Rik	Promoter	82.13719
1700024B05Rik	Gene_body	90.72061
1700024B05Rik	Promoter	97.77778
1700024G13Rik	Gene_body	19.589607
1700024G13Rik	Promoter	0.8583522
1700024N20Rik	Gene_body	0.5539359
1700024N20Rik	Promoter	24.396067
1700024P03Rik	Gene_body	95.13191
1700024P03Rik	Promoter	44.385952
1700024P04Rik	Gene_body	6.293651
1700024P04Rik	Promoter	2.777778
1700024P16Rik	Gene_body	82.84467
1700024P16Rik	Promoter	0.7684949
1700025C18Rik	Gene_body	49.545246
1700025C18Rik	Promoter	82.697174
1700025D23Rik	Gene_body	1.916132
1700025D23Rik	Promoter	1.7195768
1700025E21Rik	Gene_body	5.39559
1700025E21Rik	Promoter	3.4979424
1700025F22Rik	Gene_body	25.99852
1700025F22Rik	Promoter	0.95865095
1700025G04Rik	Gene_body	48.399994
1700025G04Rik	Promoter	2.2673836
1700025K23Rik	Gene_body	55.03649
1700025K23Rik	Promoter	22.715372
1700025N21Rik	Gene_body	93.74891
1700025N21Rik	Promoter	92.87067
1700025O08Rik	Gene_body	1.7658628
1700025O08Rik	Promoter	-1
1700026D08Rik	Gene_body	4.187241
1700026D08Rik	Promoter	2.7931097
1700026D11Rik	Gene_body	2.0210996
1700026D11Rik	Promoter	3.1060607
1700026J04Rik	Gene_body	88.029076
1700026J04Rik	Promoter	1.388889
1700026J12Rik	Gene_body	16.538025
1700026J12Rik	Promoter	5.1849976
1700026J14Rik	Gene_body	0.8549784
1700026J14Rik	Promoter	2.6761043
1700026L06Rik	Gene_body	84.58549
1700026L06Rik	Promoter	73.56906
1700027A07Rik	Gene_body	2.3486683
1700027A07Rik	Promoter	0.5254594
1700027A23Rik	Gene_body	8.369493
1700027A23Rik	Promoter	25.25482
1700027D21Rik	Gene_body	2.333832
1700027D21Rik	Promoter	4.865072
1700027L20Rik	Gene_body	16.091286
1700027L20Rik	Promoter	1.272757
1700028E10Rik	Gene_body	61.90169
1700028E10Rik	Promoter	1.6327276
1700028I16Rik	Gene_body	16.869234
1700028I16Rik	Promoter	1.1882716
1700028J19Rik	Gene_body	81.998604
1700028J19Rik	Promoter	93.958084
1700028K03Rik	Gene_body	50.824387
1700028K03Rik	Promoter	99.078415
1700028N14Rik	Gene_body	1.2220219
1700028N14Rik	Promoter	1.6363598
1700028P14Rik	Gene_body	35.853413
1700028P14Rik	Promoter	0.43094164
1700028P15Rik	Gene_body	38.0085
1700028P15Rik	Promoter	4.10305
1700029F09Rik	Gene_body	47.091686
1700029F09Rik	Promoter	1.1422552
1700029F12Rik	Gene_body	74.19789
1700029F12Rik	Promoter	10.343138
1700029G01Rik	Gene_body	32.240948
1700029G01Rik	Promoter	57.60891
1700029H14Rik	Gene_body	5.996457
1700029H14Rik	Promoter	1.495957
1700029I15Rik	Gene_body	96.12019
1700029I15Rik	Promoter	98.037926
1700029J07Rik	Gene_body	75.57616
1700029J07Rik	Promoter	7.570948
1700029J11Rik	Gene_body	58.268906
1700029J11Rik	Promoter	84.54653
1700029M20Rik	Gene_body	2.021153
1700029M20Rik	Promoter	5.9116907
1700029P11Rik	Gene_body	2.761194
1700029P11Rik	Promoter	3.0732641
1700030A11Rik	Gene_body	10.896309
1700030A11Rik	Promoter	3.3568492
1700030C10Rik	Gene_body	14.349569
1700030C10Rik	Promoter	5.315673
1700030C12Rik	Gene_body	0.73322517
1700030C12Rik	Promoter	2.4845045
1700030C14Rik	Gene_body	2.6084182
1700030C14Rik	Promoter	2.0833335
1700030F18Rik	Gene_body	53.41683
1700030F18Rik	Promoter	12.126265
1700030G06Rik	Gene_body	55.043148
1700030G06Rik	Promoter	0.54204667
1700030J22Rik	Gene_body	75.19521
1700030J22Rik	Promoter	1.2328253
1700030K09Rik	Gene_body	73.35478
1700030K09Rik	Promoter	0.83250993
1700031A10Rik	Gene_body	9.983735
1700031A10Rik	Promoter	0
1700031F05Rik	Gene_body	4.068397
1700031F05Rik	Promoter	3.671383
1700031F10Rik	Gene_body	1.3082695
1700031F10Rik	Promoter	0.4
1700034E13Rik	Gene_body	25.32193
1700034E13Rik	Promoter	23.146427
1700034F02Rik	Gene_body	42.124924
